Report ID:,CSUPO001,SLCMP - Cal Poly San Luis Obispo,Page No :,1,,,,,,,,,,
Operator :,15017366435,DVBE/SMALL BUSINESS/MICROBUSINESS REPORT,Run Date:,9/19/24,,,,,,,,,,
Database :,FCFSPRD,Fiscal Year 2023,Run Time:,10:13:21,,,,,,,,,,
From Accounting Period 1 To Accounting Period 12,,,,,,,,,,,,,,
Supplier Type,Supplier ID,Supplier Name,PO ID,PO Date,Ln-Sch-Dst,Line Descr,NIGP,O/I,Goods (Amt),Services (Amt),Construction (Amt),IT (Amt),Act Per,Fiscal Yr
,19420,19SIX ARCHITECTS,2000021207,3/1/21,01 01 01,SP0083 ARCHITECTURAL SERVICES  60 Standa,92600,,0,-957.5,0,0,1,2023
,19420,19SIX ARCHITECTS,2000026720,7/17/23,01 01 01,MH7835 Lounge Renovation - SM 113 YO 114,96200,,0,"54,500.00",0,0,1,2023
,57595,"2K SCIENTIFIC, LLC",2000027930,1/17/24,01 01 01,MJ0060 SATRC - Troubleshoot and Repair S,96200,,0,"3,350.00",0,0,7,2023
,46044,"3 INK, INC",2000027638,11/30/23,01 01 01,Orchesis Swag Per attached invoice # 618,20000,,"4,052.98",0,0,0,5,2023
,57758,"48 NORTH SOLUTIONS, INC.",2000028055,2/12/24,01 01 01,Task 1: Facility Parameters Re: Open Wat,96200,,0,"9,000.00",0,0,8,2023
,57758,"48 NORTH SOLUTIONS, INC.",2000028055,2/12/24,02 01 01,Task 2: Biological Assessment Re: Open W,96200,,0,"37,498.00",0,0,8,2023
,31948,4IMPRINT INC,2000026786,7/18/23,01 01 01,Crosby Lunch Cooler Tote,57800,,"4,692.19",0,0,0,1,2023
,31948,4IMPRINT INC,2000026786,7/18/23,02 01 01,Set up Charge,57800,,55,0,0,0,1,2023
,31948,4IMPRINT INC,2000026786,7/18/23,03 01 01,Freight,57800,,906.63,0,0,0,1,2023
,31948,4IMPRINT INC,2000026936,8/4/23,01 01 01,Water Bottle,57800,,"4,933.50",0,0,0,2,2023
,31948,4IMPRINT INC,2000026936,8/4/23,02 01 01,Set up Charge,57800,,50,0,0,0,2,2023
,31948,4IMPRINT INC,2000026936,8/4/23,03 01 01,Freight,57800,,930,0,0,0,2,2023
,31948,4IMPRINT INC,2000028366,3/8/24,01 01 01,Camden Metal Keychain 5600 EA.,57800,,"7,327.32",0,0,0,9,2023
,31948,4IMPRINT INC,2000028366,3/8/24,02 01 01,Freight,57800,,291.61,0,0,0,9,2023
,37765,"4LEAF, INC.",2000014413,10/6/17,01 01 01,MJ0065.1 DBB Hot Water Utility Upgrade B,96200,,0,-29.37,0,0,2,2023
,37765,"4LEAF, INC.",2000021769,6/10/21,02 01 01,Additional  Services,96200,,0,"-16,100.00",0,0,2,2023
,37765,"4LEAF, INC.",2000023212,3/1/22,02 01 01,IOR Staff Augmentation Services Through,96200,,0,"-29,940.00",0,0,2,2023
,48063,5280 SOLUTIONS DBA MERCHA,2000028504,5/20/24,01 01 01,PCI Assessment Services (5 Days On-site),91800,,0,"23,715.00",0,0,11,2023
,48063,5280 SOLUTIONS DBA MERCHA,2000028504,5/20/24,02 01 01,Onsite Fee- Travel and Expenses,91800,,0,"8,500.00",0,0,11,2023
,30727,611 WILSHIRE PROPERTIES,2000027473,10/19/23,01 01 01,LA Metro Space Rental AY 23/24,97100,,0,"31,000.00",0,0,4,2023
,56171,805 GOLF CARTS & RENTALS-,2000025684,3/3/23,01 01 01,Move-in Rental Cart Charger and Extensio,96200,,0,"1,900.00",0,0,1,2023
,57838,A CUT ABOVE BUCKLES INC,2000028221,2/19/24,01 01 01,Award Buckles for Poly Royal Rodeo - 202,20100,,"12,719.85",0,0,0,8,2023
,57838,A CUT ABOVE BUCKLES INC,2000028221,2/19/24,02 01 01,Shipping,96200,,0,171.6,0,0,8,2023
,57838,A CUT ABOVE BUCKLES INC,2000028221,2/19/24,02 01 01,Shipping,96200,,0,-11.6,0,0,9,2023
,1355,AACSB INTERNATIONAL,2000026577,6/12/23,01 01 01,6/30/2024 Educational Dues Renew Annual,96200,,0,"3,960.00",0,0,1,2023
,1355,AACSB INTERNATIONAL,2000026577,6/12/23,02 01 01,6/30/2024 Business Accreditation Fees An,96200,,0,"7,140.00",0,0,1,2023
,9917,ABET INC,2000027091,8/25/23,01 01 01,US23M0202 Base Accreditation Fee 10/1/22,96200,,0,715,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,02 01 01,US23M0202 CAC Program Fee 10/1/22 - 9/30,96200,,0,715,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,03 01 01,US23M0202 BOD COVID Credit 10/1/22 - 9/3,96200,,0,-100,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,04 01 01,US23M0203 Base Accreditation Fee 10/1/22,96200,,0,715,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,05 01 01,US23M0203 EAC Program Fee 10/1/22 - 9/30,96200,,0,"9,295.00",0,0,2,2023
