Supplier Type,Supplier Name,Vlookup1,Vlookup2,DGS Certification,Supplier ID,Supplier #,PO ID,PO #,PO Date,Ln-Sch-Dst,Line Descr,NIGP,O/I,Category,Goods (Amt),Services (Amt),Construction (Amt),IT (Amt),
,KLUZ INTERNATIONAL CORP,,,LRG,33261,0,2000026890,0,8/14/23,06 01 01,KLUZ INTERNATIONAL PRICE BREAK,54500,,GOODS,"-$73,380.45",$0.00,$0.00,$0.00,
,"KRUEGER INTERNATIONAL, IN",,,LRG,6623,1,2000024106,1,7/7/22,01 01 01,Quote 22TRS-587206/C - KI Roomscape Bed,42000,,GOODS,"-$36,936.39",$0.00,$0.00,$0.00,
,"MATHESON TRI-GAS, INC.",,,LRG,21454,1,2000024101,1,7/8/22,02 01 01,Nitrogen Xenon and Argon Gasses Quarterl,43000,,GOODS,"-$36,507.51",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,1,2000024535,1,9/1/22,01 01 01,2022/2023 Ford Transit Connect with ladd,7000,,GOODS,"-$32,487.04",$0.00,$0.00,$0.00,
,ANTHONY JAMES PARTNERS LL,,,LRG,53344,1,2000021353,1,4/9/21,02 01 01,New line to adjust change in CFS,57800,,GOODS,"-$30,629.00",$0.00,$0.00,$0.00,
,QUANSER CONSULTING INC.,,,LRG,56948,0,2000027079,0,8/24/23,03 01 01,Discount,54500,,GOODS,"-$26,876.45",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000023796,1,5/12/22,01 01 01,Facilities - State - Uniform for Staff,20000,,GOODS,"-$16,564.22",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000023796,0,5/12/22,01 01 01,Facilities - State - Uniform for Staff,20000,,GOODS,"-$16,564.22",$0.00,$0.00,$0.00,
,PACIFIC INSPECTION CO.,,,LRG,57981,0,2000028099,0,`,01 01 01,Quote #PICQ3304-02; Upgrade OGP Smartsco,49000,,GOODS,"-$15,494.90",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000026436,1,5/30/23,02 01 01,Change Order #1-Per Quote 44498 Office F,57800,,GOODS,"-$14,309.13",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,68 01 01,line not used,88000,,GOODS,"-$13,938.20",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000026245,1,5/10/23,01 01 01,Facilities - State - Uniform for Staff,57800,,GOODS,"-$13,911.91",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000026245,0,5/10/23,01 01 01,Facilities - State - Uniform for Staff,57800,,GOODS,"-$13,911.91",$0.00,$0.00,$0.00,
,IRONPLANET INC,,,LRG,57679,0,2000028012,0,1/29/24,01 01 01,2011 Edge MS6532 Conveyor (Item #1006817,7000,,GOODS,"-$12,610.97",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000027285,0,9/19/23,02 01 01,FR7675 Performing Arts Center Plaza - La,96200,,GOODS,"-$11,064.05",$0.00,$0.00,$0.00,
,VIGOR TECHNOLOGIES (USA),,,LRG,56785,0,2000026709,0,7/19/23,07 01 01,Special Discount,96200,,GOODS,"-$10,188.75",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000024376,1,8/15/22,01 01 01,BAPSS3060 - Airtouch; Table-Rectangle 28,28700,,GOODS,"-$10,045.46",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000017310,1,1/15/19,01 01 01,Screen Printing and Embroidery needs for,20000,,GOODS,"-$9,994.56",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000017310,0,1/15/19,01 01 01,Screen Printing and Embroidery needs for,20000,,GOODS,"-$9,994.56",$0.00,$0.00,$0.00,
,"BILL GAINES AUDIO, INC",,,LRG,6910,0,2000027477,0,10/19/23,01 01 01,A/V Rentals and Labor for Honored Alumni,98100,,GOODS,"-$9,661.24",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,36 01 01,HCSM Solo Mount,88000,,GOODS,"-$9,647.74",$0.00,$0.00,$0.00,
,CAL COAST MACHINERY,,,LRG,87,1,2000023688,1,6/10/22,01 01 01,Flail mower attachment for grounds tract,57800,,GOODS,"-$8,789.14",$0.00,$0.00,$0.00,
,VIGOR TECHNOLOGIES (USA),,,LRG,56785,0,2000026709,0,7/19/23,06 01 01,Academic Discount,96200,,GOODS,"-$8,580.00",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026099,0,11/14/23,45 01 01,UTP6P,88000,,GOODS,"-$8,544.90",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026241,0,5/24/23,03 01 01,Labor 14-301,20700,,GOODS,"-$7,709.42",$0.00,$0.00,$0.00,
,UNITED REFRIGERATION INC,,,LRG,10921,1,2000026083,1,4/17/23,01 01 01,Hoshizaki Cube Style Ice Machine Model K,57800,,GOODS,"-$7,140.21",$0.00,$0.00,$0.00,
CAL,SIERRA SCH EQUIP  CO,,,LRG,3054,0,2000026950,0,8/9/23,01 01 02,"2628WS Sled Base Combo Desk 18"" Seat",42500,,GOODS,"-$6,573.35",$0.00,$0.00,$0.00,
,"TEXAS UNDERGROUND, INC.",,,LRG,56952,0,2000027319,0,10/6/23,01 01 01,3 - Yard Combination Sewer Machine - 6 M,57800,,GOODS,"-$6,291.73",$0.00,$0.00,$0.00,
,MESSICK FARM EQUIPMENT IN,,,LRG,56848,0,2000026706,0,7/21/23,01 01 01,Baler Parts - PTO,2000,,GOODS,"-$5,911.03",$0.00,$0.00,$0.00,
CAL/LOC,SANTA MARIA MOTORCYCLES,,,LRG,22275,0,2000027511,0,10/25/23,01 01 01,Honda UTV Honda MC SXS1000M6DLP,7000,,GOODS,"-$5,817.60",$0.00,$0.00,$0.00,
,WHITECLOUDS INC.,,,LRG,47262,0,2000028462,0,3/22/24,01 01 01,Cal Poly Display Letters For Evening of,57800,,GOODS,"-$5,206.99",$0.00,$0.00,$0.00,
,GOLDEN GATE TRUCK CENTER,,,LRG,57188,0,2000027369,0,10/24/23,01 01 01,Isuzu Truck 2023 NRR Cab Chassis,7000,,GOODS,"-$5,082.10",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000026245,0,5/10/23,04 01 01,Facilities - Housing - Uniform for Staff,57800,,GOODS,"-$5,023.84",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000026245,0,5/10/23,04 01 01,Facilities - Housing - Uniform for Staff,57800,,GOODS,"-$5,023.84",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026100,0,8/31/23,30 01 01,EPSON PowerLite L730U,88000,,GOODS,"-$4,857.62",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026095,0,11/14/23,30 01 01,SRJ45-CBL,88000,,GOODS,"-$4,855.82",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000027623,0,1/17/24,01 01 01,Furniture 192-329 and 192-330,41500,,GOODS,"-$4,768.20",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000023796,0,5/12/22,04 01 01,Facilities - Housing - Uniform for Staff,20000,,GOODS,"-$4,750.29",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000023796,0,5/12/22,04 01 01,Facilities - Housing - Uniform for Staff,20000,,GOODS,"-$4,750.29",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026099,0,11/14/23,30 01 01,TLCA 1,88000,,GOODS,"-$4,720.12",$0.00,$0.00,$0.00,
,"CONTINENTAL RESOURCES, IN",,,LRG,47273,0,2000027719,0,11/30/23,02 01 01,EDU Discount,28500,,GOODS,"-$4,594.59",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026332,1,5/15/23,01 01 01,FR7480 Install new A/V equipment HC 27-1,96200,,GOODS,"-$4,308.26",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000026245,0,5/10/23,03 01 01,Facilities - Facilities Planning - Unifo,57800,,GOODS,"-$4,161.64",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000026245,0,5/10/23,03 01 01,Facilities - Facilities Planning - Unifo,57800,,GOODS,"-$4,161.64",$0.00,$0.00,$0.00,
,DESIGN WITHIN REACH - INA,,,LRG,57012,0,2000026804,0,9/14/23,01 01 01,Jarvis Laminate desk,42500,,GOODS,"-$4,028.00",$0.00,$0.00,$0.00,
,CUSTOM INK LLC,,,LRG,33591,1,2000025958,1,4/6/23,01 01 01,JournalBooks,57800,,GOODS,"-$3,748.39",$0.00,$0.00,$0.00,
,"KRUEGER INTERNATIONAL, IN",,,LRG,6623,0,2000024106,0,7/7/22,02 01 01,Surcharge for Materials,99800,,GOODS,"-$3,693.64",$0.00,$0.00,$0.00,
CAL/LOC,SANTA MARIA MOTORCYCLES,,,LRG,22275,0,2000027511,0,10/25/23,02 01 01,Doc Fee,5500,,GOODS,"-$3,286.02",$0.00,$0.00,$0.00,
CAL,MCKESSON MEDICAL-SURGICAL,,,LRG,726,1,2000025277,1,12/15/22,01 01 01,Clinical Medical Supplies FY 22/23,57800,,GOODS,"-$3,249.93",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000028018,0,1/30/24,02 01 01,FN7832 CSM FOE Exterior Enhancement - Bl,57800,,GOODS,"-$3,223.47",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026241,1,5/24/23,01 01 01,Equipment 14-301,20700,,GOODS,"-$3,051.61",$0.00,$0.00,$0.00,
,"TYR SPORT, INC.",,,LRG,20917,0,2000022372,0,10/5/21,03 01 01,Swim and dive equipment for Cal Poly tea,57800,,GOODS,"-$2,837.27",$0.00,$0.00,$0.00,
,"COAST CART, INC.","COAST CART, INC.",SB,SB,32803,0,2000027961,0,2/7/24,05 01 01,Discount,57800,,GOODS,"-$2,797.64",$0.00,$0.00,$0.00,
,"COAST CART, INC.","COAST CART, INC.",SB,SB,32803,0,2000028398,0,3/15/24,03 01 01,Discount,57800,,GOODS,"-$2,797.08",$0.00,$0.00,$0.00,
,"COAST CART, INC.","COAST CART, INC.",SB,SB,32803,0,2000027961,0,2/7/24,05 01 02,Discount,57800,,GOODS,"-$2,796.80",$0.00,$0.00,$0.00,
,"COAST CART, INC.","COAST CART, INC.",SB,SB,32803,0,2000027961,0,2/7/24,05 01 03,Discount,57800,,GOODS,"-$2,796.80",$0.00,$0.00,$0.00,
CAL,SIERRA SCH EQUIP  CO,,,LRG,3054,0,2000026950,0,8/9/23,05 01 02,Freight,42500,,GOODS,"-$2,721.47",$0.00,$0.00,$0.00,
,"MALVERN PANALYTICAL, INC.",,,LRG,52650,1,2000026016,1,4/19/23,01 01 01,FS4S1500 Field Spec 4 Std-Res 1.5M Rugge,57800,,GOODS,"-$2,675.25",$0.00,$0.00,$0.00,
,"MALVERN PANALYTICAL, INC.",,,LRG,52650,0,2000026016,0,4/19/23,01 01 02,FS4S1500 Field Spec 4 Std-Res 1.5M Rugge,57800,,GOODS,"-$2,675.25",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,57 01 01,line not used,88000,,GOODS,"-$2,627.63",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026100,0,8/31/23,03 01 01,EXTRON TLP Pro 1025T,88000,,GOODS,"-$2,614.22",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026100,0,8/31/23,45 01 01,Labor,88000,,GOODS,"-$2,604.40",$0.00,$0.00,$0.00,
,FOOD 4 LESS,,,LRG,15928,0,2000027379,0,10/9/23,01 01 01,Cal Poly Food Pantry Purchases - FY 23/2,39300,,GOODS,"-$2,588.41",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026099,0,11/14/23,03 01 01,6 outlet surge protector,88000,,GOODS,"-$2,574.23",$0.00,$0.00,$0.00,
