Supplier_Type,Supplier_ID,Supplier_Name,PO_ID,PO_Date,Line_Item,Description,NIGP_Code,Order_Type,Goods_Amount,Services_Amount,Construction_Amount,IT_Amount,Accounting_Period,Fiscal_Year,Shipping_Cost,Carrier,Consolidation_Opportunity,Supplier_Diversity_Category,Geographic_Location,Lead_Time_Days,Order_Frequency,Total_Amount,Cost_Per_Unit,Quantity
DVB,20001,ADVANCED BIOMEDICAL,2000024365,2022-08-18,01-01-01,Annual Inspection of Medical/Clinical Equipment,93800,Service,0.0,252.0,0.0,0.0,4,2023,29.66736881766468,UPS,Medium,DVBE,California,13,Quarterly,252.0,252.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000024365,2022-08-18,02-01-01,Annual Inspection of Lab Medical Instruments,93800,Service,0.0,576.0,0.0,0.0,4,2023,66.61977328771478,FedEx,Medium,DVBE,California,13,Quarterly,576.0,576.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000027032,2023-08-21,01-01-01,Annual Inspection of Medical/Clinical Equipment,93800,Service,0.0,3168.0,0.0,0.0,2,2023,244.49321911692923,Freight,High,DVBE,California,10,Annual,3168.0,3168.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000027032,2023-08-21,01-01-01,Annual Inspection of Medical/Clinical Equipment,93800,Service,0.0,3124.0,0.0,0.0,3,2023,200.20310120003617,FedEx,High,DVBE,California,8,Annual,3124.0,3124.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000027032,2023-08-21,02-01-01,Annual Inspection Of Lab Instruments,93800,Service,0.0,660.0,0.0,0.0,2,2023,62.50806039906776,Ground,Medium,DVBE,California,11,Annual,660.0,660.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000027032,2023-08-21,03-01-01,Travel Time,93800,Service,0.0,95.0,0.0,0.0,2,2023,9.03382794993308,UPS,Low,DVBE,California,9,As-Needed,95.0,95.0,1
DVB,20001,ADVANCED BIOMEDICAL,2000027032,2023-08-21,03-01-01,Travel Time,93800,Service,0.0,380.0,0.0,0.0,3,2023,34.51093617704218,UPS,Low,DVBE,California,13,As-Needed,380.0,380.0,1
DVB,568,CENTRAL COAST SPECIALTY I,2000027867,2023-12-19,01-01-01,Partitions,96200,Goods,0.0,2279.0,0.0,0.0,6,2023,217.82926307931976,FedEx,High,DVBE,California,9,Quarterly,2279.0,2279.0,1
DVB,568,CENTRAL COAST SPECIALTY I,2000027867,2023-12-19,02-01-01,Freight,96200,Service,0.0,673.0,0.0,0.0,6,2023,65.74605107615685,FedEx,High,DVBE,California,8,As-Needed,673.0,673.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000026588,2023-07-10,01-01-01,Low Voltage Systems Installation,96200,Service,0.0,930.0,0.0,0.0,1,2023,105.04226711004868,UPS,Medium,DVBE,California,10,As-Needed,930.0,930.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,01-01-01,Honeywell NVR Cameras Installation,96200,Service,0.0,68640.0,0.0,0.0,4,2023,3367.410541861305,Freight,Very High,DVBE,California,16,Annual,68640.0,68640.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,02-01-01,Labor,96200,Service,0.0,1040.0,0.0,0.0,4,2023,99.42462525855284,UPS,Medium,DVBE,California,13,As-Needed,1040.0,1040.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,03-01-01,Material Discount 8%,96200,Service,0.0,5491.2,0.0,0.0,4,2023,344.49059407500624,FedEx,Low,DVBE,California,12,As-Needed,5491.2,5491.2,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,04-01-01,License Credit,96200,Service,0.0,1472.0,0.0,0.0,4,2023,123.67123397677811,Ground,Low,DVBE,California,9,As-Needed,1472.0,1472.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,05-01-01,Tax (8.75% SLO),96200,Service,0.0,6006.0,0.0,0.0,4,2023,361.09747978667605,Freight,Low,DVBE,California,7,As-Needed,6006.0,6006.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027575,2023-10-31,06-01-01,Camera Reconfiguration,96200,Service,0.0,13950.0,0.0,0.0,9,2023,1009.5301283522431,Freight,High,DVBE,California,19,As-Needed,13950.0,13950.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027640,2023-11-29,01-01-01,Signal Strength Testing,96200,Service,0.0,3860.0,0.0,0.0,5,2023,279.7186890994541,FedEx,Medium,DVBE,California,13,As-Needed,3860.0,3860.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027929,2024-01-17,01-01-01,MIFARE DESFire PVC Cards,57800,Goods,23109.38,0.0,0.0,0.0,7,2023,1189.9746817515138,Freight,High,DVBE,California,19,Quarterly,23109.38,23109.38,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000027929,2024-01-17,02-01-01,Prevailing Wage Labor,96200,Service,0.0,12400.0,0.0,0.0,7,2023,775.1542559388332,Freight,Medium,DVBE,California,13,As-Needed,12400.0,12400.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028064,2024-01-29,01-01-01,IC-6000 Board Replacement,96200,Service,0.0,620.0,0.0,0.0,7,2023,62.58755442864327,UPS,Low,DVBE,California,13,As-Needed,620.0,620.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028128,2024-02-13,01-01-01,BMED Building Design Update,96200,Service,0.0,2450.0,0.0,0.0,8,2023,179.13676508948538,FedEx,Medium,DVBE,California,8,As-Needed,2450.0,2450.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028128,2024-02-13,02-01-01,BMED Building Installation,96200,Service,0.0,5412.0,0.0,0.0,8,2023,229.5240210258428,FedEx,Medium,DVBE,California,10,As-Needed,5412.0,5412.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028244,2024-03-01,01-01-01,Software Support Agreement Renewal,92045,IT,0.0,0.0,0.0,30498.0,8,2023,2014.9809813170493,Electronic,High,DVBE,California,14,Annual,30498.0,30498.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028244,2024-03-01,02-01-01,Software Support Agreement Renewal,92045,IT,0.0,0.0,0.0,30498.0,8,2023,2249.1165739917546,Electronic,High,DVBE,California,14,Annual,30498.0,30498.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028244,2024-03-01,03-01-01,Software Support Agreement Renewal,92045,IT,0.0,0.0,0.0,30498.0,8,2023,1756.7420098423393,Electronic,High,DVBE,California,18,Annual,30498.0,30498.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028244,2024-03-01,04-01-01,Honeywell Software Support,92045,IT,0.0,0.0,0.0,14880.0,8,2023,819.2683068716105,Electronic,Medium,DVBE,California,18,Annual,14880.0,14880.0,1
DVB,21384,DEEP BLUE INTEGRATION INC,2000028370,2024-03-21,01-01-01,Open PO for Incidental Services,96200,Service,0.0,9000.0,0.0,0.0,9,2023,619.8905215774633,FedEx,Medium,DVBE,California,7,As-Needed,9000.0,9000.0,1
OSB,34932,A-TOWN AV INC,2000024294,2022-08-03,01-01-01,AV Equipment Installation,96200,Service,0.0,1231.06,0.0,0.0,1,2023,94.01603018087918,UPS,Medium,OSB,California,8,As-Needed,1231.06,1231.06,1
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,01-01-01,Equipment 180-331,88000,Goods,1218.12,0.0,0.0,0.0,12,2023,89.58141187667421,FedEx,Medium,OSB,California,5,Quarterly,1218.12,1218.12,1
