order_value,order_weight_estimate,order_dimensions_score,current_shipping_cost,current_carrier,current_lead_time,supplier_name,supplier_diversity_category,supplier_location,shipping_cost_ratio,consolidation_opportunity,consolidation_score,order_frequency,frequency_score,optimization_target,cost_reduction_potential,carrier_ups,carrier_fedex,carrier_freight,carrier_ground,diversity_dvbe,diversity_osb,diversity_mb,po_date,fiscal_year,accounting_period,alternative_ups_cost,alternative_fedex_cost,alternative_usps_cost,best_alternative_cost,potential_savings,savings_percentage
252.0,2.52,2.52,25.2,UPS,14,ADVANCED BIOMEDICAL,DVBE,California,0.09999999999999999,Medium,2,Quarterly,4,0,5.04,1,0,0,0,1,0,0,2022-08-18,2023,4,23.935364397981413,21.461747205454433,20.511192183324873,20.511192183324873,4.688807816675126,18.606380224901294
576.0,5.76,5.76,57.6,UPS,14,ADVANCED BIOMEDICAL,DVBE,California,0.1,Medium,2,Quarterly,4,0,11.520000000000001,1,0,0,0,1,0,0,2022-08-18,2023,4,67.98445761968448,63.05117348369953,41.16987526704843,41.16987526704843,16.43012473295157,28.524522105818694
3168.0,31.68,10.0,316.8,FedEx,10,ADVANCED BIOMEDICAL,DVBE,California,0.1,High,3,Annual,1,0,63.36000000000001,0,1,0,0,1,0,0,2023-08-21,2023,2,346.19827230634127,336.4597219592775,299.0039924019325,299.0039924019325,17.79600759806749,5.617426640804132
3124.0,31.240000000000002,10.0,312.4,FedEx,10,ADVANCED BIOMEDICAL,DVBE,California,0.09999999999999999,High,3,Annual,1,0,62.48,0,1,0,0,1,0,0,2023-08-21,2023,3,324.7283641852617,333.86255178880134,281.4947707426785,281.4947707426785,30.90522925732148,9.892839070845545
660.0,6.6000000000000005,6.6,66.0,FedEx,10,ADVANCED BIOMEDICAL,DVBE,California,0.1,Medium,2,Annual,1,0,13.200000000000001,0,1,0,0,1,0,0,2023-08-21,2023,2,56.91889210768033,71.37115286438173,47.55903903299971,47.55903903299971,18.440960967000287,27.940849950000434
95.0,0.9500000000000001,0.95,9.5,Ground,5,ADVANCED BIOMEDICAL,DVBE,California,0.1,Low,1,As-Needed,6,0,1.9000000000000001,0,0,0,1,1,0,0,2023-08-21,2023,2,8.19277917727757,8.286027257442157,7.708856564099124,7.708856564099124,1.7911434359008762,18.854141430535538
380.0,3.8000000000000003,3.8,38.0,Ground,5,ADVANCED BIOMEDICAL,DVBE,California,0.1,Low,1,As-Needed,6,0,7.6000000000000005,0,0,0,1,1,0,0,2023-08-21,2023,3,31.28287090495663,36.3865093054047,40.40564146669314,31.28287090495663,6.717129095043369,17.67665551327202
2279.0,22.79,10.0,227.9,Freight,21,CENTRAL COAST SPECIALTY I,DVBE,California,0.1,High,3,Quarterly,4,0,45.580000000000005,0,0,1,0,1,0,0,2023-12-19,2023,6,261.2806174488431,201.6369675997331,181.3684619532012,181.3684619532012,46.5315380467988,20.417524373321104
673.0,6.73,6.73,67.3,Freight,21,CENTRAL COAST SPECIALTY I,DVBE,California,0.09999999999999999,High,3,As-Needed,6,0,13.46,0,0,1,0,1,0,0,2023-12-19,2023,6,70.02201611612718,74.63105816842823,51.010569956695726,51.010569956695726,16.28943004330427,24.204205116351073
930.0,9.3,9.3,93.0,UPS,14,DEEP BLUE INTEGRATION INC,DVBE,California,0.1,Medium,2,As-Needed,6,0,18.6,1,0,0,0,1,0,0,2023-07-10,2023,1,100.7402998940129,96.44001773848886,83.30764268232534,83.30764268232534,9.692357317674663,10.421889588897487
